(1991001, '2023-04-29', 643872905, 19940014),
(1991002, '2023-04-24', 312095648, 19940040),
(1991003, '2023-05-01', 312095648, 19940037),
(1991004, '2023-05-18', 817439603, 19940004),
(1991005, '2023-04-29', 312095648, 19940056),
(1991006, '2023-04-28', 965781420, 19940074),
(1991007, '2023-04-21', 965781420, 19940067),
(1991008, '2023-05-02', 208576294, 19940035),
(1991009, '2023-05-08', 208576294, 19940057),
(1991010, '2023-05-14', 965781420, 19940076),
(1991011, '2023-04-29', 817439603, 19940020),
(1991012, '2023-04-22', 208576294, 19940003),
(1991013, '2023-04-21', 312095648, 19940071),
(1991014, '2023-05-08', 965781420, 19940031),
(1991015, '2023-04-30', 312095648, 19940088),
(1991016, '2023-05-12', 208576294, 19940036),
(1991017, '2023-05-15', 965781420, 19940060),
(1991018, '2023-05-08', 208576294, 19940075),
(1991019, '2023-04-28', 312095648, 19940010),
(1991020, '2023-05-01', 208576294, 19940032),
